class,subclass,count,category,Keep
amenity,unofficial_parking,3,Transportation,0
craft,bakery,3,Food and Drink,1
craft,basket_maker,3,Artisan Workshops,1
craft,dressmaker,3,Artisan Workshops,1
craft,optician,3,Healthcare,1
craft,print_shop,3,Office,1
craft,printer,3,Office,1
craft,sun_protection,3,Health and Beauty,1
craft,welder,3,Artisan Workshops,1
craft,winery,3,Food and Drink,1
emergency,rescue_board,3,Emergency Services,0
historic,Kolbotten,3,Historic,1
historic,Trap_pit,3,Historic,1
historic,fortification,3,Historic,1
historic,grave_yard,3,Religious Places,1
historic,marker,3,Tourism,1
historic,monastery,3,Religious Places,1
historic,no,3,Historic,1
historic,watermill,3,Historic,1
leisure,disc_golf,3,Sports and Activities,1
leisure,foot_bath,3,Health and Beauty,1
leisure,hammock,3,Outdoor Recreation,1
leisure,high_ropes_course,3,Outdoor Recreation,1
leisure,indoor_playground,3,Entertainment,1
leisure,public_bath,3,Health and Beauty,1
leisure,scene,3,Entertainment,1
leisure,summer_camp,3,Recreation,1
leisure,whirlpool,3,Recreation,1
office,administrative,3,Office,1
office,engineer,3,Office,1
office,engineering,3,Office,1
office,marketing,3,Office,1
office,physician,3,Office,1
office,tax,3,Financial Services,1
office,university,3,Education,1
shop,arts_and_crafts,3,Craft,1
shop,boat_rental,3,Recreation,1
shop,e-cigarette,3,Health and Beauty,1
shop,golf,3,Sports and Activities,1
shop,groundskeeping,3,Outdoor Recreation,1
shop,household_linen,3,Home and Living,1
shop,knives,3,Craft,1
shop,military_surplus,3,Fashion and Accessories,1
shop,psychic,3,Entertainment,1
shop,scooter,3,Transportation,1
shop,textiles,3,Fashion and Accessories,1
shop,truck,3,Transportation,1
shop,wood,3,Craft,1
sport,boxing,3,Sports and Activities,1
sport,chess,3,Sports and Activities,1
sport,gymnastics,3,Sports and Activities,1
sport,judo,3,Sports and Activities,1
sport,karting,3,Sports and Activities,1
sport,model_aerodrome,3,Recreation,1
sport,water_ski,3,Sports and Activities,1
sport,yoga,3,Health and Beauty,1
tourism,waterfall,3,Outdoor Recreation,1
amenity,cafe / restaurant,2,Food and Drink,1
amenity,cash_deposit,2,Financial Services,1
amenity,dancing_school,2,Education,1
