d,d_grp,fd
630,"(629, 630]",6.114529947838233e-05
631,"(630, 631]",3.607911068449418e-05
632,"(631, 632]",4.78249812388375e-05
633,"(632, 633]",3.7016603476164825e-05
634,"(633, 634]",2.4821083814480067e-05
635,"(634, 635]",1.2800458297487132e-05
636,"(635, 636]",3.602283442659903e-05
637,"(636, 637]",7.130289169232641e-05
638,"(637, 638]",3.577867998238288e-05
639,"(638, 639]",7.739947405143096e-05
640,"(639, 640]",3.536158459785202e-05
641,"(640, 641]",5.253171762639575e-05
642,"(641, 642]",4.8810791469674307e-05
643,"(642, 643]",3.3434900122202074e-05
644,"(643, 644]",3.113974776048267e-05
645,"(644, 645]",2.879005172528887e-05
646,"(645, 646]",2.4760156588882936e-05
647,"(646, 647]",3.060757577712572e-05
648,"(647, 648]",2.744387640724463e-05
649,"(648, 649]",1.857534716690931e-05
650,"(649, 650]",2.019428720030968e-05
651,"(650, 651]",4.917304654802058e-05
652,"(651, 652]",4.08580271886168e-05
653,"(652, 653]",4.104218962858287e-05
654,"(653, 654]",1.978778459441383e-05
655,"(654, 655]",3.940189131036571e-05
656,"(655, 656]",1.3357747909591996e-05
657,"(656, 657]",1.780039268499037e-05
658,"(657, 658]",1.2489616909153856e-05
659,"(658, 659]",2.1445013249770258e-05
660,"(659, 660]",1.6181828954108803e-05
661,"(660, 661]",3.0399437453535372e-05
662,"(661, 662]",1.414193718395029e-05
663,"(662, 663]",3.2626958689210715e-05
664,"(663, 664]",2.478481318083884e-05
665,"(664, 665]",8.715895361937526e-06
666,"(665, 666]",1.719436252447016e-05
667,"(666, 667]",1.2582713217361801e-05
668,"(667, 668]",3.5093517980367e-05
669,"(668, 669]",4.1392424649547615e-05
670,"(669, 670]",1.3398494872279504e-05
671,"(670, 671]",1.712288465763987e-05
672,"(671, 672]",1.2349644661239152e-05
673,"(672, 673]",1.272308085967147e-05
674,"(673, 674]",2.1130847274347496e-05
675,"(674, 675]",1.7032509653433025e-05
676,"(675, 676]",2.7547172770488707e-05
677,"(676, 677]",4.0795042780522876e-05
678,"(677, 678]",1.4324487248148344e-05
679,"(678, 679]",3.060420974116672e-05
680,"(679, 680]",2.278020061083862e-05
681,"(680, 681]",2.9790957194717776e-05
682,"(681, 682]",2.3433700645719517e-05
683,"(682, 683]",3.397765256131062e-05
684,"(683, 684]",2.2620298477434636e-05
685,"(684, 685]",5.980940305277353e-05
686,"(685, 686]",1.7094373310247592e-05
687,"(686, 687]",4.667656131190784e-05
688,"(687, 688]",3.044166432381013e-05
689,"(688, 689]",6.401385441045338e-05
690,"(689, 690]",3.667582633765233e-05
